Wavelength,Intensity
1696.3741998234382,18672
1697.9389645108422,18869
1699.5031586463501,18291
1701.0667824116772,18153
1702.6298359885204,18041
1704.1923195585168,17958
1705.7542333032707,17823
1707.3155774043516,17688
1708.8763520432785,17756
1710.4365574015428,18062
1711.9961936605869,18107
1713.5552610018149,18205
1715.1137596065983,17976
1716.6716896562575,18131
1718.2290513320804,17992
1719.7858448153165,18346
1721.3420702871736,18193
1722.8977279288156,17911
1724.4528179213703,17995
1726.007340445929,17542
1727.5612956835412,17652
1729.1146838152054,17654
1730.6675050219019,17430
1732.2197594845547,17399
1733.7714473840515,17260
1735.3225689012488,17289
1736.873124216947,17228
1738.4231135119244,17228
1739.9725369669104,17377
1741.5213947625907,17609
1743.0696870796237,17889
1744.6174140986168,17768
1746.1645760001411,17700
1747.7111729647313,17671
1749.2572051728803,17825
1750.8026728050409,17449
1752.3475760416259,17345
1753.8919150630081,17334
1755.4356900495204,17360
1756.978901181461,16979
1758.5215486390844,17181
1760.0636326026051,16969
1761.6051532521924,17390
1763.1461107679916,17329
1764.6865053300953,17266
1766.2263371185563,17320
1767.7656063133982,17020
1769.3043130945953,17402
1770.8424576420857,17406
1772.3800401357657,17304
1773.9170607554988,17325
1775.4535196810994,17365
1776.9894170923471,17266
1778.5247531689856,16942
1780.0595280907146,16997
1781.5937420371883,16904
1783.1273951880376,16935
1784.6604877228383,16955
1786.1930198211321,17065
1787.7249916624241,16822
1789.2564034261741,16921
1790.7872552918088,16996
1792.3175474387099,17230
1793.8472800462241,17200
1795.376453293653,17599
1796.9050673602633,17117
1798.43312242528,17249
1799.9606186678902,17172
1801.4875562672387,16989
1803.0139354024359,16978
1804.5397562525486,16966
1806.0650189966018,16799
1807.5897238135876,16663
1809.113870882451,16531
1810.6374603821059,16491
1812.1604924914209,16663
1813.6829673892244,16771
1815.2048852543103,17085
1816.7262462654271,17032
1818.2470506012905,17094
1819.7672984405726,17207
1821.2869899619036,17192
1822.8061253438791,17026
1824.3247047650511,17001
1825.842728403939,16987
1827.3601964390145,16717
1828.8771090487153,16643
1830.3934664114349,16638
1831.9092687055327,16221
1833.424516109324,16344
1834.9392088010936,16121
1836.4533469590679,16449
1837.9669307614568,16112
1839.4799603864139,16259
1840.992436012064,16259
1842.5043578164823,16332
1844.0157259777152,16530
1845.5265406737653,16582
1847.03680208259,16618
1848.546510382117,16614
1850.0556657502275,16487
1851.5642683647657,16518
1853.0723184035396,16323
1854.5798160443119,16191
1856.0867614648105,16140
1857.5931548427197,15929
1859.0989963556895,16013
1860.6042861813276,15705
1862.109024497202,15651
1863.6132114808388,15651
1865.1168473097368,15526
1866.6199321613367,15847
1868.1224662130553,15757
1869.6244496422623,15775
1871.1258826262911,16043
1872.6267653424347,16131
1874.1270979679466,16172
1875.6268806800417,16027
1877.1261136558933,16268
1878.62479707264,16070
1880.122931107373,16224
1881.6205159371584,16199
1883.1175517390038,16182
1884.6140386898951,16009
1886.1099769667671,16010
1887.6053667465185,15801
1889.1002082060149,15530
1890.594501522075,15796
1892.0882468714808,15643
1893.5814444309708,15314
1895.0740943772544,15569
1896.5661968869917,15608
1898.0577521368104,15477
1899.5487603032925,15872
1901.0392215629818,15996
1902.5291360923948,16237
1904.0185040679862,15901
1905.5073256661963,16222
1906.995601063405,16177
1908.4833304359654,16483
1909.9705139601901,16172
1911.4571518123448,16156
1912.9432441686677,15960
1914.4287912053478,15914
1915.913793098538,15747
1917.3982500243492,15769
1918.8821621588631,15668
1920.3655296781126,15494
1921.8483527580938,15717
1923.330631574765,15766
1924.8123663040406,15745
1926.2935571218022,15513
1927.7742042038881,15894
1929.2543077260998,15867
1930.7338678641954,15835
1932.2128847938984,15672
